german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Hütte,cabin,"die Hütte, -n",Wir übernachten in der Hütte auf dem Berg.,We spend the night in the hut on the mountain.,,,,,,,,,,
Idee,idea,"die Idee, -n",Du willst ein Picknick machen? Ich finde die Idee toll.,You want to have a picnic? I think it's a great idea.,,,,,,,,,,
Imbiss,snack,"der Imbiss, -e (D) 
→ A: Jause, CH: Znüni/Zvieri",Es ist Zeit für einen kleinen Imbiss.,It's time for a small snack.,,,,,,,,,,
Import,import,"der Import, -e","Im dritten Stock ist die Firma Schmidt & Co, Import und Export.","Schmidt & Co, Import and Export, is on the third floor.",Der Import von Zigaretten ist nur bis zu einer bestimmten Menge erlaubt.,The import of cigarettes is only permitted up to a certain quantity.,,,,,,,,
Industrie,industry,"die Industrie, -n",In dieser Gegend gibt es viel Industrie.,There is a lot of industry in this area.,,,,,,,,,,
Infektion,infection,"die Infektion, -en",Sie haben eine Infektion. Sie müssen Tabletten nehmen.,You have an infection. You need to take tablets.,,,,,,,,,,
Information,information,"die Information, -en",Bitte lesen Sie diese Informationen genau.,Please read this information carefully.,"Wenn Sie Fragen haben, gehen Sie zur Information.","If you have any questions, please go to the information desk.",,,,,,,,
Ingenieur,engineer,"der Ingenieur, -e",Hans will Bauingenieur werden.,Hans wants to become a civil engineer.,,,,,,,,,,
Inhalt,contents,"der Inhalt, -e",Geben Sie den Inhalt der Packung in einen Liter kochendes Wasser.,Add the contents of the packet to one liter of boiling water.,,,,,,,,,,
Insel,island,"die Insel, -n",Ich würde dieses Mal gern auf einer Insel Ferien machen.,I would like to go on vacation to an island this time.,,,,,,,,,,
Inserat,advertisement,"das Inserat, -e",Was kostet ein Inserat in der Zeitung?,What does an advertisement in the newspaper cost?,,,,,,,,,,
Institut,institute,"das Institut, -e",Ich besuche einen Sprachkurs in einem kleinen Sprachinstitut.,I am attending a language course at a small language institute.,,,,,,,,,,
Instrument,instrument,"das Instrument, -e",Ich spiele Klavier. Spielen Sie auch ein Musikinstrument?,I play the piano. Do you also play a musical instrument?,,,,,,,,,,
Integration,integration,"die Integration, -en",Gute Deutschkenntnisse sollen bei der Integration helfen.,Good German language skills should help with integration.,,,,,,,,,,
Intelligenz,intelligence,"die Intelligenz, -en",Meine Kinder haben in der Schule einen Intelligenztest gemacht.,My children took an intelligence test at school.,,,,,,,,,,
Intensivkurs,intensive course,"der Intensivkurs, -e",Der Intensivkurs findet täglich von 9 bis 12 Uhr statt.,The intensive course takes place daily from 9 am to 12 pm.,,,,,,,,,,
Interesse,interest,"das Interesse, -n","Ich habe viele Interessen: Sport, Lesen, Handarbeit, Tanzen","I have many interests: sport, reading, needlework, dancing",,,,,,,,,,
Interview,interview,"das Interview, -s",Ich habe im Fernsehen ein interessantes Interview mit zwei Schauspielern gesehen.,I saw an interesting interview with two actors on television.,,,,,,,,,,
Jacke,jacket,"die Jacke, -n",Zieh dir eine Jacke an. Es ist kalt.,Put on a jacket. It's cold.,,,,,,,,,,
Jause,snack,"die Jause, -n (A) 
→ D: Imbiss; CH: Znüni/Zvieri",Es ist Zeit für eine kleine Jause.,It's time for a little snack.,,,,,,,,,,
Jeans,jeans,die Jeans (Pl.),Nicht nur junge Leute tragen Jeans.,It's not just young people who wear jeans.,,,,,,,,,,
"Journalist, Journalistin",journalist,"der Journalist, -en 
die Journalistin, -nen",Meine Tochter möchte Journalistin werden.,My daughter wants to be a journalist.,,,,,,,,,,
Jugend,youth,die Jugend (Sg.),In meiner Jugend habe ich mich sehr für Musik interessiert.,I was very interested in music when I was young.,,,,,,,,,,
Jugendliche,"young person, teenager","der Jugendliche, -n 
die Jugendliche, -nen",Die Jugendlichen gehen gerne in die Disko.,Young people like going to the disco.,Der Eintritt ist für Kinder und Jugendliche bis 16 Jahre frei.,Admission is free for children and young people up to the age of 16.,,,,,,,,
Jugendherberge,youth hostel,"die Jugendherberge, -n",Wo habt ihr übernachtet? – In einer Jugendherberge.,Where did you stay overnight? - In a youth hostel.,,,,,,,,,,
Junge,boy,"der Junge, -n (D) 
→ A, CH: Bub",In der Schulklasse sind 15 Jungen und 10 Mädchen.,There are 15 boys and 10 girls in the class.,,,,,,,,,,
Kabel,"cable, cord","das Kabel, -",Wo ist das Kabel für das Aufnahmegerät?,Where is the cable for the recorder?,Mit Kabel bekommen Sie über 30 Fernsehkanäle.,With cable you get over 30 TV channels.,,,,,,,,
Kabine,"cabin, booth","die Kabine, -n","Um zu wählen, gehen Sie bitte in diese Kabine.","To vote, please go to this booth.",,,,,,,,,,
Kaffee,coffee,"der Kaffee, -s",Bring bitte noch eine Packung Kaffee mit.,Please bring another packet of coffee.,Zum Frühstück trinke ich gerne Kaffee.,I like to drink coffee for breakfast.,Wir sind bei Müllers zum Kaffee eingeladen.,We are invited to Müllers for coffee.,"Einen Kaffee, bitte.","A coffee, please.",,,,
Kaffeehaus,coffee house,"das Kaffeehaus, ¨-er (A)",Hier in der Nähe ist ein Kaffeehaus. Lass uns einen Kaffee trinken.,There's a coffee house nearby. Let's have a coffee.,,,,,,,,,,
Kakao,cocoa,"der Kakao, -s",Zum Frühstück trinke ich immer einen Kakao.,I always drink cocoa for breakfast.,,,,,,,,,,
Kalender,calendar,"der Kalender, -",Ich habe den Termin in meinem Kalender notiert.,I have noted the date in my calendar.,Haben Sie am Montag Zeit? – Moment. Ich muss erst in meinem Terminkalender nachschauen.,Are you free on Monday? - Just a moment. I have to check my diary first.,,,,,,,,
Kälte,cold,die Kälte (Sg.),Bei dieser Kälte fahre ich nicht mit dem Fahrrad.,I don't ride my bike in this cold.,,,,,,,,,,
Kamera,camera,"die Kamera, -s",Ich habe eine ganz neue Kamera.,I have a brand new camera.,,,,,,,,,,
Kampf,fight,"der Kampf, ¨-e",Im Schulbus gibt es immer einen Kampf um die Sitzplätze.,There is always a fight for seats on the school bus.,,,,,,,,,,
Kanal,channel,"der Kanal, ¨-e",Mit Kabel bekommen Sie über 30 Fernsehkanäle.,With cable you get over 30 TV channels.,,,,,,,,,,
Kandidat,candidate,"der Kandidat, -en",Wie viele Kandidaten kommen zur Prüfung?,How many candidates take the exam?,,,,,,,,,,
Kanne,"pot, jug","die Kanne, -n","Das ist aber eine schöne Teekanne. – Ja, die ist aus China.","That's a beautiful teapot. - Yes, it's from China.",Bitte einen Kaffee! – Eine Tasse oder ein Kännchen?,A coffee please! - A cup or a pot?,,,,,,,,
Kantine,canteen,"die Kantine, -n",In unserer Kantine kann man günstig essen.,You can eat cheaply in our canteen.,,,,,,,,,,
Kapitel,chapter,"das Kapitel, -","Die Lehrerin hat gesagt, wir sollen zwei Kapitel im Buch wiederholen.",The teacher told us to repeat two chapters in the book.,,,,,,,,,,
Karneval,carnival,"der Karneval, -s/-e (D) 
→ D, A: Fasching; CH: Fasnacht",Dort hängt mein Kostüm für den Karnevals(um)zug.,My costume for the carnival parade is hanging there.,,,,,,,,,,
Karotte,carrot,"die Karotte, -n 
→ D: Möhre; CH: Rüebli",Hasen fressen gern Karotten.,Rabbits like to eat carrots.,,,,,,,,,,
Karriere,career,"die Karriere, -n",Mein Bruder hat große Pläne. Er will Karriere machen.,My brother has big plans. He wants to make a career.,,,,,,,,,,
Karte,"map, card, ticket","die Karte, -n",Schreibst du mir eine Karte aus dem Urlaub?,Will you write me a card from your vacation?,Diese Karte gilt nur für die 2. Klasse.,This card is only valid for 2nd class.,Hast du schon die Karten für das Konzert abgeholt?,Have you picked up your tickets for the concert yet?,Haben Sie eine Karte von Norddeutschland?,Do you have a map of northern Germany?,"Herr Ober, bitte die Speisekarte.","Waiter, the menu please.",Spielen Sie Karten?,Do you play cards?
Chipkarte,chip card,"die Chipkarte, -n",Ich habe eine Chipkarte für diesen Automaten.,I have a chip card for this machine.,,,,,,,,,,
Fahrkarte,ticket,"die Fahrkarte, -n 
→ CH: Billett",Fahrkarten können Sie am Schalter kaufen.,You can buy tickets at the ticket counter.,,,,,,,,,,
Kartoffel,potato,"die Kartoffel, -n 
→ A: Erdapfel",Kann ich bitte noch Kartoffeln bekommen?,"Can I have some more potatoes, please?",,,,,,,,,,
Käse,cheese,"der Käse, -",Möchtest du Käse aufs Brot?,Would you like cheese on your bread?,,,,,,,,,,
Kasse,cash register,"die Kasse, -n",Zahlen Sie bitte an der Kasse.,Please pay at the cash desk.,,,,,,,,,,
Kassette,cassette,"die Kassette, -n",Meine Eltern besitzen noch viele Musikkassetten.,My parents still have a lot of music cassettes.,,,,,,,,,,
Kasten,box,"der Kasten, ¨- (D) 
→ Kiste (A, D)",Ich habe zwei Kästen Bier gekauft.,I bought two crates of beer.,,,,,,,,,,
Kasten,"cabinet, wardrobe","der Kasten, ¨- (A, CH) 
→ D, CH: Schrank",Die Handtücher liegen im Kasten.,The towels are in the cabinet.,,,,,,,,,,
Katalog,catalog,"der Katalog, -e",Ich habe mir ein Kleid aus dem Katalog bestellt.,I ordered a dress from the catalog.,,,,,,,,,,
Katastrophe,disaster,"die Katastrophe, -n",Der Urlaub war eine Katastrophe. Es hat nur geregnet.,The vacation was a disaster. It only rained.,,,,,,,,,,
Kauf,purchase,"der Kauf, ""-e",Der neue Esstisch war ein guter Kauf.,The new dining table was a good buy.,,,,,,,,,,
"Käufer, Käuferin",buyer,"der Käufer, - 
die Käuferin, -nen",Ich habe schon einen Käufer für den alten Tisch.,I already have a buyer for the old table.,,,,,,,,,,
Keller,cellar,"der Keller, -",Unser Keller ist nicht besonders groß.,Our cellar is not particularly large.,,,,,,,,,,
"Kellner, Kellnerin","waiter, waitress","der Kellner, - 
die Kellnerin, -nen 
→ D, A: Ober; CH: Serviceangestellter",Ich bin Kellnerin von Beruf.,I am a waitress by profession.,,,,,,,,,,
Kenntnisse,knowledge,die Kenntnisse (Pl.),In vielen Berufen braucht man heute Sprachkenntnisse.,Many professions today require language skills.,Ich möchte meine Deutschkenntnisse verbessern.,I would like to improve my German language skills.,,,,,,,,
Kennzeichen,license plate,"das Kennzeichen, -",Das Auto hat ein Schweizer Kennzeichen.,The car has a Swiss license plate.,,,,,,,,,,
Kerze,candle,"die Kerze, -n",Für den Geburtstagstisch brauchen wir viele Blumen und Kerzen.,We need lots of flowers and candles for the birthday table.,,,,,,,,,,
Kette,chain,"die Kette, -n",Ich habe zum Geburtstag eine goldene Kette bekommen.,I received a gold necklace for my birthday.,,,,,,,,,,
Kind,child,"das Kind, -er",Mein Bruder hat zwei Kinder.,My brother has two children.,Wir haben ein Kind bekommen.,We had a child.,Die Kinder spielen Fußball.,The children play soccer.,,,,,,
Kindergarten,kindergarten,"der Kindergarten, ¨-",Morgens bringe ich meinen Sohn in den Kindergarten.,I take my son to kindergarten in the morning.,,,,,,,,,,
Kindheit,childhood,"die Kindheit, -en",In meiner Kindheit war ich oft auf dem Land bei meinen Großeltern.,"As a child, I often spent time in the countryside with my grandparents.",,,,,,,,,,
Kino,cinema,"das Kino, -s",Wollen wir ins Kino gehen?,Shall we go to the movies?,,,,,,,,,,
Kiosk,kiosk,"der Kiosk, -e",Zeitungen bekommst du am Kiosk.,You can get newspapers at newsstands.,,,,,,,,,,
Kirche,church,"die Kirche, -n",Diese Kirche ist aus dem 12. Jahrhundert.,This church dates back to the 12th century.,,,,,,,,,,
Kiste,"box, crate","die Kiste, -n (A, D) 
→ D: Kasten",Ich habe zwei Kisten Bier gekauft.,I bought two crates of beer.,,,,,,,,,,
Kissen,pillow,"das Kissen, -",Ohne Kopfkissen kann ich nicht schlafen.,I can't sleep without a pillow.,,,,,,,,,,
Klasse,class,"die Klasse, -n",In der Klasse sind 24 Schülerinnen und Schüler.,There are 24 pupils in the class.,Im Herbst komme ich in die 7. Klasse.,I'll be in 7th grade in the fall.,"Einmal nach Frankfurt, 1. Klasse, bitte.","Once to Frankfurt, 1st class, please.",,,,,,
Klassenarbeit,class work,"die Klassenarbeit, -en (D) 
→ A: Schularbeit",Mein Sohn schreibt bei Klassenarbeiten immer gute Noten.,My son always gets good marks in class tests.,,,,,,,,,,
Klavier,piano,"das Klavier, -e",Meine Tochter möchte Klavier spielen lernen.,My daughter wants to learn to play the piano.,,,,,,,,,,
Kleid,dress,"das Kleid, -er",Ich habe mir ein neues Kleid gekauft.,I bought myself a new dress.,,,,,,,,,,
Kleidung,clothing,die Kleidung (Sg.),Hier brauchen Sie auch im Sommer warme Kleidung.,You will need warm clothing here even in summer.,,,,,,,,,,
Klick,click,"der Klick, - s","Um das Wort zu markieren, genügt ein Doppelklick mit der linken Maustaste.","To select the word, simply double-click with the left mouse button.",,,,,,,,,,
Klima,climate,"das Klima, -s/-te","Alle sagen, dass sich das Klima ändert.",Everyone says that the climate is changing.,,,,,,,,,,
Klimaanlage,air conditioning,"die Klimaanlage, -n",Im Sommer brauchen wir eine Klimaanlage.,In summer we need air conditioning.,,,,,,,,,,
Klingel,(door)bell,"die Klingel, -n",Drück bitte auf die Klingel!,Please press the bell!,,,,,,,,,,
Klinik,clinic,"die Klinik, -en","Ich muss in die Klinik, um meinen kranken Onkel zu besuchen.",I have to go to the clinic to visit my sick uncle.,,,,,,,,,,
Kloß,dumpling,"der Kloß, ¨-e (D) 
→ D, A: Knödel","Möchten Sie zum Fleisch Kartoffeln oder Klöße? – Klöße, bitte.",Would you like potatoes or dumplings with your meat?,,,,,,,,,,
Kneipe,pub,"die Kneipe, -n (D)",Gehen wir noch in eine Kneipe ein Bier trinken?,Shall we go to a pub for a beer?,,,,,,,,,,
Knie,knee,"das Knie, -",Ich habe mich am Knie verletzt. Jetzt kann ich nicht laufen.,I injured my knee. Now I can't walk.,,,,,,,,,,
Knochen,bone,"der Knochen, -",Ich bin hingefallen. Jetzt tun mir alle Knochen weh.,I fell down. Now all my bones hurt.,,,,,,,,,,
Knödel,dumpling,"der Knödel, - (D, A) 
→ D: Kloß",Möchten Sie zum Fleisch Erdäpfel oder Knödel? – Knödel bitte.,Would you like potatoes or dumplings with your meat?,,,,,,,,,,
Knopf,button,"der Knopf, ¨-e",An meiner Jacke fehlt ein Knopf.,A button is missing from my jacket.,Der Fahrstuhl kommt nicht. – Sie müssen auf den Knopf drücken.,The elevator is not coming. - You have to press the button.,,,,,,,,
"Koch, Köchin",cook,"der Koch, ¨-e 
die Köchin, -nen",Ein Freund von mir ist Koch in einem teuren Restaurant.,A friend of mine is a chef in an expensive restaurant.,,,,,,,,,,
Koffer,suitcase,"der Koffer, -",Ich habe den Koffer schon gepackt.,I've already packed my suitcase.,,,,,,,,,,
"Kollege, Kollegin",colleague,"der Kollege, -n 
die Kollegin, -nen",Ich habe guten Kontakt zu meinen Kollegen.,I have good contact with my colleagues.,Mein neuer Kollege ist sehr nett.,My new colleague is very nice.,,,,,,,,
Kommunikation,communication,"die Kommunikation, -en",Die Kommunikation zwischen den Abteilungen ist gut.,Communication between the departments is good.,,,,,,,,,,
Kompromiss,compromise,"der Kompromiss, -e",Alle wollen etwas anderes. Wir müssen einen Kompromiss finden.,Everyone wants something different. We have to find a compromise.,,,,,,,,,,
Konferenz,conference,"die Konferenz, -en",Die Konferenz findet in Raum 19 statt.,The conference will take place in room 19.,,,,,,,,,,
Konfitüre,jam,"die Konfitüre, -n (CH)",Bring bitte noch ein Glas Konfitüre mit.,Please bring a jar of jam with you.,,,,,,,,,,
Konflikt,conflict,"der Konflikt, -e",Das ist ein alter Konflikt.,This is an old conflict.,Ich habe einen Konflikt mit meinen Eltern.,I have a conflict with my parents.,,,,,,,,
König,king,"der König, -e",Der spanische König ist in Deutschland zu Besuch.,The King of Spain is visiting Germany.,,,,,,,,,,
Konkurrenz,competition,"die Konkurrenz, -en",Die Reparatur ist mir hier zu teuer. Bei der Konkurrenz bekomme ich sie für die Hälfte.,The repair is too expensive for me here. I can get it for half the price from the competition.,"Es ist schwer, ein Geschäft aufzumachen. Die Konkurrenz ist groß.",It's difficult to start a business. The competition is fierce.,,,,,,,,
Konsulat,consulate,"das Konsulat, -e",Ein Visum bekommst du auch im Konsulat.,You can also get a visa at the consulate.,,,,,,,,,,
Konsum,consumption,"der Konsum, -s",Der Konsum von Lebensmitteln steigt.,Food consumption is on the rise.,,,,,,,,,,
Kontakt,contact,"der Kontakt, -e",Ich habe wenig Kontakt zu meinen Kollegen.,I have little contact with my colleagues.,,,,,,,,,,
Konto,account,"das Konto, Konten",Ich möchte ein Konto eröffnen.,I would like to open an account.,Das Geld überweisen wir am 1. März auf Ihr Konto.,We will transfer the money to your account on March 1.,,,,,,,,
Girokonto,current account,"das Girokonto, -en",Mein Girokonto kostet gar nichts.,My current account costs nothing.,,,,,,,,,,
Kontrolle,control,"die Kontrolle, -n",An den Grenzen gibt es kaum noch Kontrollen.,There are hardly any checks at the borders.,Fahrkartenkontrolle! Bitte Ihre Fahrkarten!,Ticket inspection! Your tickets please!,,,,,,,,
Konzert,concert,"das Konzert, -e",Für das Konzert am Sonntag gibt es noch Karten.,Tickets are still available for the concert on Sunday.,,,,,,,,,,
Kopf,head,"der Kopf, ¨-e",Ich habe Kopfschmerzen.,I have a headache.,Michael kann gut im Kopf rechnen.,Michael is good at mental arithmetic.,,,,,,,,
Kopie,copy,"die Kopie, -n",Machst du mir bitte eine Kopie?,Can you make me a copy please?,,,,,,,,,,
Kopierer,copier,"der Kopierer, -",Der Kopierer ist schon wieder kaputt.,The photocopier is broken again.,,,,,,,,,,
Körper,body,"der Körper, -","Der Arzt sagt, ich muss etwas für meinen Körper tun, z. B. schwimmen oder Fahrrad fahren.","The doctor says I need to do something for my body, such as swimming or cycling.",,,,,,,,,,
